Comment,Designator,Footprint,JLCPCB Part (optional)
1N4148W,"D_SPACE17,D_SPACE34,D_SPACE5,D_SPACE1,D_SPACE32,D_SPACE36,D_SPACE38,D_SPACE25,D_SPACE18,D_SPACE9,D_SPACE13,D_SPACE35,D_SPACE12,D_SPACE29,D_SPACE2,D_SPACE20,D_SPACE24,D_SPACE21,D_SPACE15,D_SPACE26,D_SPACE16,D_SPACE14,D_SPACE30,D_SPACE4,D_SPACE11,D_SPACE37,D_SPACE10,D_SPACE40,D_SPACE8,D_SPACE39,D_SPACE3,D_SPACE27,D_SPACE28,D_SPACE23,D_SPACE31,D_SPACE7,D_SPACE33,D_SPACE19,D_SPACE22,D_SPACE6",SOD-123,C81598
16 Mhz Crystal,X1,SMD-3225_4P,C13738
SRV05-4,U1,SOT-23-6,C85364
1M,UR5,R0805,C17514
1206L035/16YR,F1,F1206,C126817
5.1k,"UR3,UR4",R0805,C27834
ATMEGA32U4,U2,VQFN-44_EP_7.0x7.0x0.5P,C112161
22pF,"C2,C1",C0805,C1804
10uF,C4,C0805,C15850
22,"UR1,UR2",R0805,X
10k,"R2,R1",R0805,C17414
0.1uF,"C6,C8,C5,C7",C0805,C49678
1uF,C3,C0805,C91185
4.7uF,C9,C0805,C1779
HRO-TYPE-C-31-M-12,USB1,TYPE-C-31-M-12,C165948
