sep=;
"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"K_SPACE4,K_SPACE17,K_SPACE30,K_SPACE41,K_SPACE45,K_SPACE9,K_SPACE21,K_SPACE33,K_SPACE29,K_SPACE37,K_SPACE15,K_SPACE28,K_SPACE39,K_SPACE10,K_SPACE2,K_SPACE14,K_SPACE32,K_SPACE26,K_SPACE36,K_SPACE25,K_SPACE38,K_SPACE8,K_SPACE35,K_SPACE20,K_SPACE46,K_SPACE11,K_SPACE19,K_SPACE23,K_SPACE16,K_SPACE12,K_SPACE22,K_SPACE3,K_SPACE7,K_SPACE6,K_SPACE5,K_SPACE27,K_SPACE24,K_SPACE18,K_SPACE31,K_SPACE1,K_SPACE42,K_SPACE13";"MXOnly-1U-NoLED";42;"KEYSW";;;
2;"SW5";"PinHeader_1x02_P2.54mm_Vertical";1;"SW_PUSH";;;
3;"K_SPACE54,K_SPACE55,K_SPACE53,K_SPACE52,K_SPACE56,K_SPACE49";"MXOnly-1.25U-NoLED";6;"KEYSW";;;
4;"K_SPACE51,K_SPACE50";"MXOnly-1.75U-NoLED";2;"KEYSW";;;
5;"K_SPACE43,K_SPACE44";"MXOnly-2U-ReversedStabilizers-NoLED";2;"KEYSW";;;
6;"K_SPACE60,K_SPACE34,K_SPACE61,K_SPACE40";"MXOnly-1.5U-NoLED";4;"KEYSW";;;
7;"K_SPACE47";"MXOnly-2.25U-ReversedStabilizers-NoLED";1;"KEYSW";;;
8;"K_SPACE59,K_SPACE58,K_SPACE57";"MXOnly-3U-ReversedStabilizers-NoLED";3;"KEYSW";;;
9;"SW2,SW3,SW4";"RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm";3;"RotaryEncoder_Switch";;;
10;"SW6,SW1";"SW_SPST_SKQG_WithoutStem";2;"SW_PUSH";;;
11;"OL1,OL2";"OLED_v2";2;"OLED";;;
12;"K_SPACE48";"MXOnly-2.75U-ReversedStabilizers-NoLED";1;"KEYSW";;;
13;"D_SPACE17,D_SPACE34,D_SPACE5,D_SPACE1,D_SPACE32,D_SPACE36,D_SPACE38,D_SPACE25,D_SPACE18,D_SPACE9,D_SPACE13,D_SPACE35,D_SPACE12,D_SPACE29,D_SPACE2,D_SPACE20,D_SPACE24,D_SPACE21,D_SPACE15,D_SPACE26,D_SPACE16,D_SPACE14,D_SPACE30,D_SPACE4,D_SPACE11,D_SPACE37,D_SPACE10,D_SPACE40,D_SPACE8,D_SPACE39,D_SPACE3,D_SPACE27,D_SPACE28,D_SPACE23,D_SPACE31,D_SPACE7,D_SPACE33,D_SPACE19,D_SPACE22,D_SPACE6";"D_SOD-123";40;"D";;;
14;"X1";"Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering";1;"Crystal_GND24_Small";;;
15;"U1";"SOT-23-6";1;"SRV05-4";;;
16;"UR5";"R_0805_2012Metric";1;"1M";;;
17;"F1";"Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"Polyfuse_Small";;;
18;"UR3,UR4";"R_0805_2012Metric";2;"5.1k";;;
19;"U2";"QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm";1;"ATmega32U4-M";;;
20;"C2,C1";"C_0805_2012Metric";2;"22p";;;
21;"C4";"C_0805_2012Metric";1;"10uF";;;
22;"UR1,UR2";"R_0805_2012Metric";2;"22";;;
23;"R2,R1";"R_0805_2012Metric";2;"10k";;;
24;"C6,C8,C5,C7";"C_0805_2012Metric";4;"0.1uf";;;
25;"C3";"C_0805_2012Metric";1;"1uf";;;
26;"C9";"C_0805_2012Metric";1;"4.7uF";;;
27;"USB1";"HRO-TYPE-C-31-M-12-HandSoldering";1;"HRO-TYPE-C-31-M-12";;;
28;"J1";"IDC-Header_2x03_P2.54mm_Vertical";1;"AVR-ISP-6";;;
